Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,category
Albania,Maize,1990,36613.0,1485.0,121.0,16.37,Low
Albania,Maize,1991,29068.0,1485.0,121.0,15.36,Low
Albania,Maize,1993,24185.0,1485.0,121.0,16.05,Low
Albania,Maize,1994,25848.0,1485.0,201.0,16.96,Low
Albania,Maize,1995,31300.0,1485.0,251.0,15.67,Low
Albania,Maize,1996,32604.0,1485.0,313.96,15.64,Low
Albania,Maize,1997,31862.0,1485.0,376.93,15.9,Low
Albania,Maize,1998,33416.0,1485.0,439.89,16.27,Low
Albania,Maize,1999,37455.0,1485.0,502.86,16.57,Low
Albania,Maize,2000,38811.0,1485.0,565.82,16.67,Low
Albania,Maize,2001,38135.0,1485.0,628.79,16.59,Low
Albania,Maize,2002,39460.0,1485.0,691.75,16.47,Low
Albania,Maize,2004,46197.0,1485.0,817.68,16.16,Low
Albania,Maize,2005,45442.0,1485.0,880.64,15.67,Low
Albania,Maize,2006,50111.0,1485.0,943.61,15.92,Low
Albania,Maize,2007,46732.0,1485.0,1006.57,16.67,Low
Albania,Maize,2008,50000.0,1485.0,1069.54,16.71,Low
Albania,Maize,2009,55693.0,1485.0,1132.5,16.73,Low
Albania,Maize,2010,66790.0,1485.0,1311.17,16.52,Low
Albania,Maize,2011,59869.0,1485.0,1302.63,16.45,Low
Albania,Maize,2012,67290.0,1485.0,766.25,16.7,Low
Albania,Maize,2013,69533.0,1485.0,982.32,17.41,Low
Albania,Potatoes,1990,66667.0,1485.0,121.0,16.37,Low
Albania,Potatoes,1991,77818.0,1485.0,121.0,15.36,Low
Albania,Potatoes,1993,98446.0,1485.0,121.0,16.05,Low
Albania,Potatoes,1994,81404.0,1485.0,201.0,16.96,Low
Albania,Potatoes,1995,111323.0,1485.0,251.0,15.67,Low
Albania,Potatoes,1996,106138.0,1485.0,313.96,15.64,Low
Albania,Potatoes,1997,109874.0,1485.0,376.93,15.9,Low
Albania,Potatoes,1998,127212.0,1485.0,439.89,16.27,Low
Albania,Potatoes,1999,142018.0,1485.0,502.86,16.57,Low
Albania,Potatoes,2000,141228.0,1485.0,565.82,16.67,Low
Albania,Potatoes,2001,148818.0,1485.0,628.79,16.59,Low
Albania,Potatoes,2002,153868.0,1485.0,691.75,16.47,Low
Albania,Potatoes,2004,149346.0,1485.0,817.68,16.16,Low
Albania,Potatoes,2005,167061.0,1485.0,880.64,15.67,Low
Albania,Potatoes,2006,170745.0,1485.0,943.61,15.92,Medium
Albania,Potatoes,2007,188902.0,1485.0,1006.57,16.67,Medium
Albania,Potatoes,2008,193878.0,1485.0,1069.54,16.71,Medium
Albania,Potatoes,2009,219780.0,1485.0,1132.5,16.73,Medium
Albania,Potatoes,2010,231111.0,1485.0,1311.17,16.52,Medium
Albania,Potatoes,2011,242211.0,1485.0,1302.63,16.45,Medium
Albania,Potatoes,2012,250538.0,1485.0,766.25,16.7,Medium
Albania,Potatoes,2013,260110.0,1485.0,982.32,17.41,Medium
Albania,"Rice, paddy",1990,23333.0,1485.0,121.0,16.37,Low
Albania,"Rice, paddy",1991,28538.0,1485.0,121.0,15.36,Low
Albania,"Rice, paddy",1993,41786.0,1485.0,121.0,16.05,Low
Albania,Sorghum,1990,12500.0,1485.0,121.0,16.37,Low
Albania,Sorghum,1991,6667.0,1485.0,121.0,15.36,Low
Albania,Soybeans,1990,7000.0,1485.0,121.0,16.37,Low
Albania,Soybeans,1991,6066.0,1485.0,121.0,15.36,Low
Albania,Soybeans,1993,7998.0,1485.0,121.0,16.05,Low
Albania,Soybeans,1994,7927.0,1485.0,201.0,16.96,Low
Albania,Soybeans,1995,11791.0,1485.0,251.0,15.67,Low
Albania,Soybeans,1996,15480.0,1485.0,313.96,15.64,Low
Albania,Soybeans,1997,12768.0,1485.0,376.93,15.9,Low
Albania,Soybeans,1998,14327.0,1485.0,439.89,16.27,Low
Albania,Soybeans,1999,17143.0,1485.0,502.86,16.57,Low
Albania,Soybeans,2000,15000.0,1485.0,565.82,16.67,Low
Albania,Soybeans,2001,20000.0,1485.0,628.79,16.59,Low
Albania,Soybeans,2002,20000.0,1485.0,691.75,16.47,Low
Albania,Soybeans,2004,13333.0,1485.0,817.68,16.16,Low
Albania,Soybeans,2005,17500.0,1485.0,880.64,15.67,Low
Albania,Soybeans,2006,20000.0,1485.0,943.61,15.92,Low
Albania,Soybeans,2007,20000.0,1485.0,1006.57,16.67,Low
Albania,Soybeans,2008,20000.0,1485.0,1069.54,16.71,Low
Albania,Soybeans,2009,16667.0,1485.0,1132.5,16.73,Low
Albania,Soybeans,2010,16667.0,1485.0,1311.17,16.52,Low
Albania,Soybeans,2011,18519.0,1485.0,1302.63,16.45,Low
Albania,Soybeans,2012,13333.0,1485.0,766.25,16.7,Low
Albania,Soybeans,2013,10000.0,1485.0,982.32,17.41,Low
Albania,Wheat,1990,30197.0,1485.0,121.0,16.37,Low
Albania,Wheat,1991,20698.0,1485.0,121.0,15.36,Low
Albania,Wheat,1993,29976.0,1485.0,121.0,16.05,Low
Albania,Wheat,1994,24745.0,1485.0,201.0,16.96,Low
Albania,Wheat,1995,28703.0,1485.0,251.0,15.67,Low
Albania,Wheat,1996,21741.0,1485.0,313.96,15.64,Low
Albania,Wheat,1997,28516.0,1485.0,376.93,15.9,Low
Albania,Wheat,1998,28037.0,1485.0,439.89,16.27,Low
Albania,Wheat,1999,24954.0,1485.0,502.86,16.57,Low
Albania,Wheat,2000,30455.0,1485.0,565.82,16.67,Low
Albania,Wheat,2001,28220.0,1485.0,628.79,16.59,Low
Albania,Wheat,2002,31617.0,1485.0,691.75,16.47,Low
Albania,Wheat,2004,31130.0,1485.0,817.68,16.16,Low
Albania,Wheat,2005,31582.0,1485.0,880.64,15.67,Low
Albania,Wheat,2006,30787.0,1485.0,943.61,15.92,Low
Albania,Wheat,2007,35496.0,1485.0,1006.57,16.67,Low
Albania,Wheat,2008,40168.0,1485.0,1069.54,16.71,Low
Albania,Wheat,2009,40229.0,1485.0,1132.5,16.73,Low
Albania,Wheat,2010,39905.0,1485.0,1311.17,16.52,Low
Albania,Wheat,2011,42301.0,1485.0,1302.63,16.45,Low
Albania,Wheat,2012,41096.0,1485.0,766.25,16.7,Low
Albania,Wheat,2013,41292.0,1485.0,982.32,17.41,Low
Algeria,Maize,1990,16500.0,89.0,1828.92,17.48,Low
Algeria,Maize,1991,19231.0,89.0,2461.8,16.26,Low
Algeria,Maize,1992,22828.0,89.0,1215.47,16.27,Low
Algeria,Maize,1993,12500.0,89.0,1021.89,17.0,Low
Algeria,Maize,1994,4512.0,89.0,1255.02,17.88,Low
Algeria,Maize,1995,16115.0,89.0,2697.09,17.36,Low
Algeria,Maize,1996,17154.0,89.0,479.77,16.76,Low
Algeria,Maize,1997,21417.0,89.0,401.22,17.84,Low
Algeria,Maize,1998,17222.0,89.0,322.84,17.14,Low
Algeria,Maize,1999,22375.0,89.0,654.45,17.97,Low
Algeria,Maize,2000,36186.0,89.0,603.67,17.9,Low
Algeria,Maize,2001,27175.0,89.0,710.11,18.13,Low
Algeria,Maize,2002,33480.0,89.0,816.55,17.85,Low
Algeria,Maize,2004,31729.0,89.0,3747.86,17.38,Low
Algeria,Maize,2005,33864.0,89.0,3662.87,17.19,Low
Algeria,Maize,2006,65668.0,89.0,4110.72,18.13,Low
Algeria,Maize,2007,85625.0,89.0,5390.79,17.42,Low
Algeria,Maize,2008,44714.0,89.0,11556.12,17.55,Low
Algeria,Maize,2009,30914.0,89.0,3867.99,17.78,Low
Algeria,Maize,2010,25827.0,89.0,1295.88,17.59,Low
Algeria,Maize,2011,23374.0,89.0,13861.76,17.79,Low
Algeria,Maize,2012,25583.0,89.0,17379.76,17.91,Low
Algeria,Maize,2013,33649.0,89.0,17278.65,17.65,Low
Algeria,Potatoes,1990,78936.0,89.0,1828.92,17.48,Low
Algeria,Potatoes,1991,90747.0,89.0,2461.8,16.26,Low
Algeria,Potatoes,1992,107917.0,89.0,1215.47,16.27,Low
Algeria,Potatoes,1993,111215.0,89.0,1021.89,17.0,Low
Algeria,Potatoes,1994,95078.0,89.0,1255.02,17.88,Low
Algeria,Potatoes,1995,136768.0,89.0,2697.09,17.36,Low
Algeria,Potatoes,1996,134629.0,89.0,479.77,16.76,Low
Algeria,Potatoes,1997,141042.0,89.0,401.22,17.84,Low
Algeria,Potatoes,1998,160256.0,89.0,322.84,17.14,Low
Algeria,Potatoes,1999,153532.0,89.0,654.45,17.97,Low
Algeria,Potatoes,2000,166143.0,89.0,603.67,17.9,Low
Algeria,Potatoes,2001,147018.0,89.0,710.11,18.13,Low
Algeria,Potatoes,2002,183774.0,89.0,816.55,17.85,Medium
Algeria,Potatoes,2004,203585.0,89.0,3747.86,17.38,Medium
Algeria,Potatoes,2005,216267.0,89.0,3662.87,17.19,Medium
Algeria,Potatoes,2006,220689.0,89.0,4110.72,18.13,Medium
Algeria,Potatoes,2007,189927.0,89.0,5390.79,17.42,Medium
Algeria,Potatoes,2008,236393.0,89.0,11556.12,17.55,Medium
Algeria,Potatoes,2009,250764.0,89.0,3867.99,17.78,Medium
Algeria,Potatoes,2010,270526.0,89.0,1295.88,17.59,Medium
Algeria,Potatoes,2011,292806.0,89.0,13861.76,17.79,Medium
Algeria,Potatoes,2012,304291.0,89.0,17379.76,17.91,Medium
Algeria,Potatoes,2013,303218.0,89.0,17278.65,17.65,Medium
