,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,category
0,Albania,Maize,1990,36613,1485,121,16.37,Low
1,Albania,Maize,1991,29068,1485,121,15.36,Low
2,Albania,Maize,1993,24185,1485,121,16.05,Low
3,Albania,Maize,1994,25848,1485,201,16.96,Low
4,Albania,Maize,1995,31300,1485,251,15.67,Low
5,Albania,Maize,1996,32604,1485,313.96,15.64,Low
6,Albania,Maize,1997,31862,1485,376.93,15.9,Low
7,Albania,Maize,1998,33416,1485,439.89,16.27,Low
8,Albania,Maize,1999,37455,1485,502.86,16.57,Low
9,Albania,Maize,2000,38811,1485,565.82,16.67,Low
10,Albania,Maize,2001,38135,1485,628.79,16.59,Low
11,Albania,Maize,2002,39460,1485,691.75,16.47,Low
12,Albania,Maize,2004,46197,1485,817.68,16.16,Low
13,Albania,Maize,2005,45442,1485,880.64,15.67,Low
14,Albania,Maize,2006,50111,1485,943.61,15.92,Low
15,Albania,Maize,2007,46732,1485,1006.57,16.67,Low
16,Albania,Maize,2008,50000,1485,1069.54,16.71,Low
17,Albania,Maize,2009,55693,1485,1132.5,16.73,Low
18,Albania,Maize,2010,66790,1485,1311.17,16.52,Low
19,Albania,Maize,2011,59869,1485,1302.63,16.45,Low
20,Albania,Maize,2012,67290,1485,766.25,16.7,Low
21,Albania,Maize,2013,69533,1485,982.32,17.41,Low
22,Albania,Potatoes,1990,66667,1485,121,16.37,Low
23,Albania,Potatoes,1991,77818,1485,121,15.36,Low
24,Albania,Potatoes,1993,98446,1485,121,16.05,Low
25,Albania,Potatoes,1994,81404,1485,201,16.96,Low
26,Albania,Potatoes,1995,111323,1485,251,15.67,Low
27,Albania,Potatoes,1996,106138,1485,313.96,15.64,Low
28,Albania,Potatoes,1997,109874,1485,376.93,15.9,Low
29,Albania,Potatoes,1998,127212,1485,439.89,16.27,Low
30,Albania,Potatoes,1999,142018,1485,502.86,16.57,Low
31,Albania,Potatoes,2000,141228,1485,565.82,16.67,Low
32,Albania,Potatoes,2001,148818,1485,628.79,16.59,Low
33,Albania,Potatoes,2002,153868,1485,691.75,16.47,Low
34,Albania,Potatoes,2004,149346,1485,817.68,16.16,Low
35,Albania,Potatoes,2005,167061,1485,880.64,15.67,Low
36,Albania,Potatoes,2006,170745,1485,943.61,15.92,Medium
37,Albania,Potatoes,2007,188902,1485,1006.57,16.67,Medium
38,Albania,Potatoes,2008,193878,1485,1069.54,16.71,Medium
39,Albania,Potatoes,2009,219780,1485,1132.5,16.73,Medium
40,Albania,Potatoes,2010,231111,1485,1311.17,16.52,Medium
41,Albania,Potatoes,2011,242211,1485,1302.63,16.45,Medium
42,Albania,Potatoes,2012,250538,1485,766.25,16.7,Medium
43,Albania,Potatoes,2013,260110,1485,982.32,17.41,Medium
44,Albania,"Rice, paddy",1990,23333,1485,121,16.37,Low
45,Albania,"Rice, paddy",1991,28538,1485,121,15.36,Low
46,Albania,"Rice, paddy",1993,41786,1485,121,16.05,Low
47,Albania,Sorghum,1990,12500,1485,121,16.37,Low
48,Albania,Sorghum,1991,6667,1485,121,15.36,Low
49,Albania,Soybeans,1990,7000,1485,121,16.37,Low
50,Albania,Soybeans,1991,6066,1485,121,15.36,Low
51,Albania,Soybeans,1993,7998,1485,121,16.05,Low
52,Albania,Soybeans,1994,7927,1485,201,16.96,Low
53,Albania,Soybeans,1995,11791,1485,251,15.67,Low
54,Albania,Soybeans,1996,15480,1485,313.96,15.64,Low
55,Albania,Soybeans,1997,12768,1485,376.93,15.9,Low
56,Albania,Soybeans,1998,14327,1485,439.89,16.27,Low
57,Albania,Soybeans,1999,17143,1485,502.86,16.57,Low
58,Albania,Soybeans,2000,15000,1485,565.82,16.67,Low
59,Albania,Soybeans,2001,20000,1485,628.79,16.59,Low
60,Albania,Soybeans,2002,20000,1485,691.75,16.47,Low
61,Albania,Soybeans,2004,13333,1485,817.68,16.16,Low
62,Albania,Soybeans,2005,17500,1485,880.64,15.67,Low
63,Albania,Soybeans,2006,20000,1485,943.61,15.92,Low
64,Albania,Soybeans,2007,20000,1485,1006.57,16.67,Low
65,Albania,Soybeans,2008,20000,1485,1069.54,16.71,Low
66,Albania,Soybeans,2009,16667,1485,1132.5,16.73,Low
67,Albania,Soybeans,2010,16667,1485,1311.17,16.52,Low
68,Albania,Soybeans,2011,18519,1485,1302.63,16.45,Low
69,Albania,Soybeans,2012,13333,1485,766.25,16.7,Low
70,Albania,Soybeans,2013,10000,1485,982.32,17.41,Low
71,Albania,Wheat,1990,30197,1485,121,16.37,Low
72,Albania,Wheat,1991,20698,1485,121,15.36,Low
73,Albania,Wheat,1993,29976,1485,121,16.05,Low
74,Albania,Wheat,1994,24745,1485,201,16.96,Low
75,Albania,Wheat,1995,28703,1485,251,15.67,Low
76,Albania,Wheat,1996,21741,1485,313.96,15.64,Low
77,Albania,Wheat,1997,28516,1485,376.93,15.9,Low
78,Albania,Wheat,1998,28037,1485,439.89,16.27,Low
79,Albania,Wheat,1999,24954,1485,502.86,16.57,Low
80,Albania,Wheat,2000,30455,1485,565.82,16.67,Low
81,Albania,Wheat,2001,28220,1485,628.79,16.59,Low
82,Albania,Wheat,2002,31617,1485,691.75,16.47,Low
83,Albania,Wheat,2004,31130,1485,817.68,16.16,Low
84,Albania,Wheat,2005,31582,1485,880.64,15.67,Low
85,Albania,Wheat,2006,30787,1485,943.61,15.92,Low
86,Albania,Wheat,2007,35496,1485,1006.57,16.67,Low
87,Albania,Wheat,2008,40168,1485,1069.54,16.71,Low
88,Albania,Wheat,2009,40229,1485,1132.5,16.73,Low
89,Albania,Wheat,2010,39905,1485,1311.17,16.52,Low
90,Albania,Wheat,2011,42301,1485,1302.63,16.45,Low
91,Albania,Wheat,2012,41096,1485,766.25,16.7,Low
92,Albania,Wheat,2013,41292,1485,982.32,17.41,Low
93,Algeria,Maize,1990,16500,89,1828.92,17.48,Low
94,Algeria,Maize,1991,19231,89,2461.8,16.26,Low
95,Algeria,Maize,1992,22828,89,1215.47,16.27,Low
96,Algeria,Maize,1993,12500,89,1021.89,17,Low
97,Algeria,Maize,1994,4512,89,1255.02,17.88,Low
98,Algeria,Maize,1995,16115,89,2697.09,17.36,Low
99,Algeria,Maize,1996,17154,89,479.77,16.76,Low
100,Algeria,Maize,1997,21417,89,401.22,17.84,Low
101,Algeria,Maize,1998,17222,89,322.84,17.14,Low
102,Algeria,Maize,1999,22375,89,654.45,17.97,Low
103,Algeria,Maize,2000,36186,89,603.67,17.9,Low
104,Algeria,Maize,2001,27175,89,710.11,18.13,Low
105,Algeria,Maize,2002,33480,89,816.55,17.85,Low
106,Algeria,Maize,2004,31729,89,3747.86,17.38,Low
